location_name,lat,lng,region,country,water_type,bait_score_hint,last_report_utc,latest_report,historical_report_notes
Jackson Lake,34.3922095,-117.7281097,California,USA,Mountain Lake,25,2022-02-01T12:00:00Z,"frozen winter conditions prevented fishing","Seasonal shutdown observed."
Irvine Lake East Shore,33.7776743,-117.7328293,California,USA,Lake,38,2022-01-27T15:00:00Z,"wind and low water quality reduced activity; one bass sighted","Two matching no-bite reports."
Willow Beach Mojave,35.869909,-114.6593498,Arizona,USA,River/Lake,52,2022-01-01T12:00:00Z,"north Lake Mojave area with mixed confidence reports","Recon + historical place marker."
Alamo Lake,34.2419166,-113.5754997,Arizona,USA,Lake,44,2022-01-01T12:00:00Z,"deeper AZ lake target area","Minimal detail."
Tinnemaha Camp,37.0518524,-118.2718777,California,USA,Lake/Camp,50,2022-01-01T12:00:00Z,"stocked trout and scout-era catch history","General destination intelligence."
Pickel Meadow Walker River,38.351303,-119.5215569,California,USA,River,46,2012-01-06T12:00:00Z,"mad trout bite reported historically with elk hair caddis setup","Legacy fly-fishing report."
East Walker Bridgeport Reach,38.3376116,-119.2086115,California,USA,River,41,2022-01-01T12:00:00Z,"big trout area but no success on logged attempt","Single historical report."
Glacier Lodge North Fork Big Pine,37.131402,-118.510526,California,USA,Alpine Creek/Lakes,49,2022-01-01T12:00:00Z,"high-country destination with trail/lake progression","Recon-oriented mountain fish intel."
Twin Lakes South Camp Reach,38.1844159,-119.3218937,California,USA,Lake,53,2022-01-01T12:00:00Z,"cold conditions with big trout at campsite south zone","Multiple deer sightings and overnight activity notes."
Crystal Lake Azusa,34.3260822,-117.8413381,California,USA,Mountain Lake,57,2025-09-12T21:34:00Z,"planned N/S California rig deployment with slip float and sinking carolina setup","Series of 2023 planning/catch notes including giant fish on cheese and repeat trips."
Silverwood Lake Alternate Access,34.2720887,-117.4661358,California,USA,Lake,36,2022-02-01T12:00:00Z,"slow day and lost rig; worms only pattern observed","Low-activity day log."
Silverwood Lake Main,34.238653,-117.080092,California,USA,Lake,54,2022-01-01T12:00:00Z,"striper summer/trout winter expectations with dock and inlet walk options","Long-term spot with periodic scouting comments."
Brea Dam Zone,33.9081,-117.9364,California,USA,Urban Lake,51,2023-05-02T16:00:00Z,"bluegill/red-dot catch and prior 13in bass with worm+float strategy","Detailed terminal tackle notes recorded."
Tri City Basin,33.9037,-117.8652,California,USA,Urban Basin,33,2022-02-02T14:00:00Z,"cold window and sinker loss; suggested late-morning retry","Low confidence bite conditions."
Mooney Grove,36.2799,-119.3089,California,USA,Pond/Grove,45,2022-02-11T14:00:00Z,"large trout reported on green power bait; worms underperformed","Community-observation based report."
Needles Catfish Water,34.74228,-114.487525,California,USA,River/Backwater,42,2022-11-06T14:00:00Z,"newport mackerel cut used; observed small catfish catch by others","Catfish-focused intel."
Jay Home Marker,33.890075,-117.915976,California,USA,Urban Marker,10,2022-01-01T12:00:00Z,"all days no fishing at this marker","Non-fishing reference marker."
Carr Park Lake,33.721744,-118.02346,California,USA,Urban Lake,37,2022-01-01T12:00:00Z,"catfish stocking callout with low confirmation","Stocking intelligence note."
Takeoff Point Spur 95 Dam,34.300533,-114.13695,Arizona,USA,Lake/River Dam Reach,58,2022-11-12T15:00:00Z,"caught striped bass with 40lb/10lb split setups near dam-side platforms","Depth and tackle planning details included."
Prince Park HB,33.725167,-118.0734134,California,USA,Coastal Park/Channel,47,2023-09-02T16:00:00Z,"stingray and yellowfin croaker observed, no hookup on anchovy","10-20 ft depth reference logged."
Bolsa Chica Halibut Walk-In,33.68283,-118.03554,California,USA,Estuary/Beach Edge,50,2022-01-01T12:00:00Z,"halibut known in area with short access walk","Spot intelligence note."
Silverwood Marina Point,34.28354,-117.334087,California,USA,Lake,59,2025-12-05T22:37:00Z,"recon day showed trout increase near shore; bass jump seen by marina side","Detailed tackle/weight notes included in latest report."
Bahia Honda Bridge Flats,24.6556,-81.2713,Florida Keys,USA,Bridge Flat,72,2025-01-01T12:00:00Z,"formable dataset import: bridge flats current and bait corridor","Imported from provided structured location list."
Seven Mile Bridge Channel,24.7039,-81.1412,Florida Keys,USA,Bridge Channel,74,2025-01-01T12:00:00Z,"formable dataset import: high-flow channel edge","Imported from provided structured location list."
Key West Harbor Flats,24.5616,-81.8071,Florida Keys,USA,Harbor Flat,71,2025-01-01T12:00:00Z,"formable dataset import: harbor flats bait movement zone","Imported from provided structured location list."
Islamorada Channel Flats,24.9236,-80.6274,Florida Keys,USA,Channel Flat,73,2025-01-01T12:00:00Z,"formable dataset import: channel current transitions","Imported from provided structured location list."
Long Key Bridge Channel,24.8174,-80.8129,Florida Keys,USA,Bridge Channel,70,2025-01-01T12:00:00Z,"formable dataset import: bridge-channel drift line","Imported from provided structured location list."
Sombrero Reef Edge,24.6167,-81.1070,Florida Keys,USA,Reef Edge,76,2025-01-01T12:00:00Z,"formable dataset import: reef edge current acceleration","Imported from provided structured location list."
Looe Key Reef Drift,24.5458,-81.4097,Florida Keys,USA,Reef Drift,77,2025-01-01T12:00:00Z,"formable dataset import: reef drift lane","Imported from provided structured location list."
Key West Sand Key Flats,24.4586,-81.8780,Florida Keys,USA,Sand Flat,69,2025-01-01T12:00:00Z,"formable dataset import: shallow flat transitions","Imported from provided structured location list."
Cudjoe Channel Current Edge,24.6602,-81.4973,Florida Keys,USA,Channel Edge,73,2025-01-01T12:00:00Z,"formable dataset import: current seam","Imported from provided structured location list."
Big Pine Channel Cut,24.6725,-81.3590,Florida Keys,USA,Channel Cut,72,2025-01-01T12:00:00Z,"formable dataset import: cut-through flow","Imported from provided structured location list."
Marathon Offshore Sand Bar,24.6668,-81.0860,Florida Keys,USA,Offshore Sandbar,75,2025-01-01T12:00:00Z,"formable dataset import: offshore swell/bait transition","Imported from provided structured location list."
Molasses Reef Current Line,25.0115,-80.3757,Florida Keys,USA,Reef Current Line,78,2025-01-01T12:00:00Z,"formable dataset import: strong current line","Imported from provided structured location list."
Alligator Reef Edge,24.8565,-80.6181,Florida Keys,USA,Reef Edge,77,2025-01-01T12:00:00Z,"formable dataset import: edge breaks","Imported from provided structured location list."
Tennessee Reef Drift,24.7801,-80.8782,Florida Keys,USA,Reef Drift,76,2025-01-01T12:00:00Z,"formable dataset import: drift corridor","Imported from provided structured location list."
American Shoal Reef Dropoff,24.5194,-81.6261,Florida Keys,USA,Reef Dropoff,79,2025-01-01T12:00:00Z,"formable dataset import: dropoff feeding lane","Imported from provided structured location list."
Western Dry Rocks Edge,24.4519,-81.9228,Florida Keys,USA,Reef Edge,75,2025-01-01T12:00:00Z,"formable dataset import: outer edge activity","Imported from provided structured location list."
Key Largo Harbor Flats,25.0864,-80.4477,Florida Keys,USA,Harbor Flat,71,2025-01-01T12:00:00Z,"formable dataset import: harbor flat movement","Imported from provided structured location list."
Snake Creek Channel,24.9493,-80.5854,Florida Keys,USA,Channel,74,2025-01-01T12:00:00Z,"formable dataset import: constricted channel flow","Imported from provided structured location list."
Channel Two Bridge Cut,24.8069,-80.8706,Florida Keys,USA,Bridge Cut,73,2025-01-01T12:00:00Z,"formable dataset import: bridge-cut lane","Imported from provided structured location list."
Channel Five Bridge Drift,24.7567,-80.9303,Florida Keys,USA,Bridge Drift,72,2025-01-01T12:00:00Z,"formable dataset import: drift corridor","Imported from provided structured location list."
Lower Matecumbe Flats,24.8201,-80.7428,Florida Keys,USA,Flats,70,2025-01-01T12:00:00Z,"formable dataset import: flats movement zone","Imported from provided structured location list."
Bahia Honda Offshore Sand,24.6104,-81.2750,Florida Keys,USA,Offshore Sand,74,2025-01-01T12:00:00Z,"formable dataset import: offshore sand line","Imported from provided structured location list."
Saddlebunch Channel Edge,24.5702,-81.6461,Florida Keys,USA,Channel Edge,73,2025-01-01T12:00:00Z,"formable dataset import: channel seam","Imported from provided structured location list."
Boca Chica Channel Drift,24.5748,-81.6895,Florida Keys,USA,Channel Drift,72,2025-01-01T12:00:00Z,"formable dataset import: drift line","Imported from provided structured location list."
Key West Gulf Edge Drift,24.5670,-81.9204,Florida Keys,USA,Gulf Edge Drift,76,2025-01-01T12:00:00Z,"formable dataset import: gulf edge movement","Imported from provided structured location list."
